Region,Contract,Month,Product,age,Insurance,Start,Paid,End
Seoul,Lease,12,A,30,Liability,2023-02-03,576000 ,2024-02-02
Seoul,Lease,12,A,30,Liability,2023-02-03,576000 ,2024-02-02
Seoul,Lease,12,A,30,Liability,2023-02-02,717000 ,2024-02-01
Seoul,Lease,12,A,21,Liability,2023-02-02,900000 ,2023-12-07
Seoul,Lease,12,A,21,Swing,2023-02-02,1011000 ,2023-03-09
Seoul,Lease,12,A,30,Liability,2023-02-01,717000 ,2024-01-31
Seoul,Lease,6,A,30,Liability,2023-02-02,1014000 ,2023-08-01
Seoul,Lease,6,A,24,Liability,2023-02-02,1161000 ,2023-08-01
Seoul,Lease,12,A,24,Liability,2023-02-03,825000 ,2024-02-02
Seoul,Lease,6,A,26,Swing,2023-02-03,1194600 ,2023-08-02
Seoul,Lease,12,A,30,Liability,2023-02-07,717000 ,2023-07-17
Seoul,Lease,12,A,21,Liability,2023-02-07,900000 ,2023-07-17
Seoul,Lease,12,A,30,Liability,2023-02-07,717000 ,2023-07-17
Seoul,Lease,12,A,24,Swing,2023-02-03,915000 ,2023-06-05
Seoul,Lease,6,A,21,Liability,2023-02-03,1260000 ,2023-08-02
Seoul,Lease,6,A,30,Liability,2023-02-03,1003800 ,2023-08-02
Seoul,Lease,12,A,30,Liability,2023-02-06,498000 ,2024-02-05
Seoul,Lease,12,A,30,Liability,2023-02-06,498000 ,2024-02-05
Seoul,Lease,12,A,30,Liability,2023-02-06,480000 ,2023-03-07
Seoul,Lease,6,A,26,Liability,2023-02-06,1105800 ,2023-08-05
Seoul,Lease,12,A,21,Liability,2023-02-06,900000 ,2024-02-05
Seoul,Lease,12,A,30,Liability,2023-02-07,576000 ,2024-02-06
Seoul,Lease,12,A,30,Liability,2023-02-06,717000 ,2023-08-03
Seoul,Lease,12,A,21,Liability,2023-02-09,639000 ,2024-02-08
Seoul,Lease,12,A,26,Liability,2023-02-09,678000 ,2024-02-08
Seoul,Lease,12,A,30,Liability,2023-02-07,576000 ,2024-02-06
Seoul,Lease,12,A,26,Liability,2023-02-07,849000 ,2023-11-14
Seoul,Lease,12,A,24,Liability,2023-02-07,825000 ,2024-02-06
Seoul,Lease,12,A,26,Liability,2023-02-07,777000 ,2024-02-06
Seoul,Lease,6,A,21,Swing,2023-02-09,1408800 ,2023-08-08
Seoul,Lease,6,A,21,Swing,2023-02-10,1261800 ,2023-08-09
Seoul,Lease,12,A,26,Liability,2023-02-09,528000 ,2024-02-08
Seoul,Lease,12,A,30,Liability,2023-02-10,621000 ,2024-02-09
Seoul,Lease,12,A,26,Liability,2023-02-08,717000 ,2024-02-07
Seoul,Lease,12,A,26,Liability,2023-02-08,777000 ,2024-02-07
Seoul,Lease,12,A,21,Liability,2023-02-09,798000 ,2023-05-31
Seoul,Lease,6,A,30,Liability,2023-02-09,1105800 ,2023-08-08
Seoul,Lease,6,A,30,Liability,2023-02-09,1014000 ,2023-08-08
Seoul,Lease,6,A,30,Liability,2023-02-09,1014000 ,2023-08-08
Seoul,Lease,12,A,30,Liability,2023-02-10,576000 ,2024-02-09
Seoul,Lease,12,A,30,Swing,2023-02-13,531000 ,2024-02-12
Seoul,Lease,12,A,26,Swing,2023-02-13,600000 ,2023-06-02
Honam,Lease,12,A,26,Liability,2023-02-10,777000 ,2024-02-09
Seoul,Lease,6,A,30,Liability,2023-02-10,1014000 ,2023-08-09
Seoul,Lease,6,A,30,Liability,2023-02-10,1014000 ,2023-08-09
Seoul,Lease,6,A,30,Liability,2023-02-10,1014000 ,2023-08-09
Seoul,Lease,12,A,30,Swing,2023-02-13,780000 ,2023-05-15
Seoul,Lease,12,A,30,Swing,2023-02-14,780000 ,2023-04-10
Seoul,Lease,6,A,24,Swing,2023-02-15,615000 ,2023-03-09
Seoul,Lease,12,A,30,Swing,2023-02-14,780000 ,2024-02-13
Seoul,Lease,6,A,30,Liability,2023-02-14,1003800 ,2023-08-06
Seoul,Lease,12,A,30,Liability,2023-02-14,717000 ,2024-02-13
Seoul,Lease,6,A,24,Liability,2023-02-15,1161000 ,2023-08-14
Seoul,Lease,12,A,30,Liability,2023-02-17,621000 ,2024-02-16
Seoul,Lease,6,A,26,Swing,2023-02-17,1188600 ,2023-05-15
Seoul,Lease,12,A,21,Liability,2023-02-20,900000 ,2023-12-07
Seoul,Lease,12,A,21,Liability,2023-02-20,900000 ,2023-12-07
Seoul,Lease,12,A,26,Liability,2023-02-20,465000 ,2023-12-05
Seoul,Lease,12,A,30,Liability,2023-02-20,621000 ,2024-02-19
Seoul,Lease,12,A,24,Liability,2023-02-21,705000 ,2023-02-28
Seoul,Lease,12,A,26,Liability,2023-02-21,657000 ,2023-03-01
Seoul,Lease,6,A,30,Liability,2023-02-22,1014000 ,2023-08-21
Seoul,Lease,6,A,30,Liability,2023-02-22,1003800 ,2023-08-21
Seoul,Lease,12,A,30,Liability,2023-02-22,717000 ,2024-02-21
Seoul,Lease,12,A,30,Swing,2023-02-27,780000 ,2024-02-26
Seoul,Lease,12,A,24,Liability,2023-02-23,825000 ,2024-02-22
Seoul,Lease,12,A,21,Swing,2023-02-24,1011000 ,2023-07-25
Seoul,Lease,12,A,30,Liability,2023-02-27,438000 ,2024-02-26
Seoul,Lease,12,A,30,Swing,2023-02-24,717000 ,2023-05-15
Seoul,Lease,12,A,30,Liability,2023-02-27,717000 ,2024-02-26
Seoul,Lease,12,A,30,Liability,2023-02-28,717000 ,2024-02-27
Seoul,Lease,12,A,30,Swing,2023-03-02,624000 ,2023-04-12
Seoul,Lease,12,A,30,Liability,2023-03-02,621000 ,2024-02-08
Seoul,Lease,6,A,30,Liability,2023-02-28,1003800 ,2023-08-27
Seoul,Lease,12,A,30,Swing,2023-03-02,663000 ,2024-03-01
Seoul,Lease,12,A,21,Swing,2023-03-02,903000 ,2024-03-01
Seoul,Lease,12,A,26,Swing,2023-03-03,750000 ,2024-03-02
Seoul,Lease,12,A,26,Swing,2023-02-28,750000 ,2023-07-27
Seoul,Lease,12,A,30,Liability,2023-03-02,600000 ,2024-03-01
Seoul,Lease,12,A,24,Liability,2023-03-02,705000 ,2024-03-01
Seoul,Lease,6,A,30,Liability,2023-03-02,764400 ,2023-09-01
Seoul,Lease,6,A,24,Swing,2023-03-02,1281000 ,2023-05-15
Seoul,Lease,6,A,30,Liability,2023-03-02,1003800 ,2023-09-01
Seoul,Lease,12,A,30,Swing,2023-03-02,780000 ,2024-03-01
Seoul,Lease,12,A,30,Swing,2023-03-02,780000 ,2024-03-01
Seoul,Lease,6,A,30,Liability,2023-03-03,1003800 ,2023-09-02
Seoul,Lease,12,A,26,Liability,2023-03-07,777000 ,2023-08-07
Seoul,Lease,12,A,30,Liability,2023-03-07,717000 ,2023-03-21
Seoul,Lease,6,A,26,Liability,2023-03-03,1087800 ,2023-09-02
Seoul,Lease,6,A,30,Swing,2023-03-08,955200 ,2023-09-07
Seoul,Lease,6,A,30,Swing,2023-03-08,955200 ,2023-09-07
Seoul,Lease,6,A,30,Swing,2023-03-06,1092000 ,2023-05-15
Seoul,Lease,6,A,30,Swing,2023-03-06,1092000 ,2023-05-15
Seoul,Lease,12,A,30,Liability,2023-03-06,717000 ,2024-03-05
Seoul,Lease,12,A,24,Liability,2023-03-07,825000 ,2024-03-06
Seoul,Lease,6,A,30,Liability,2023-03-07,1003800 ,2023-09-06
Seoul,Lease,12,A,21,Swing,2023-03-09,708000 ,2023-05-15
Seoul,Lease,12,A,30,Swing,2023-03-09,717000 ,2023-04-03
Seoul,Lease,6,A,21,Liability,2023-03-10,1261800 ,2023-09-09
Seoul,Lease,6,A,21,Liability,2023-03-10,1261800 ,2023-09-09
Seoul,Lease,6,A,30,Swing,2023-02-27,1092000 ,2023-06-26
Seoul,Lease,12,A,24,Swing,2023-03-10,681000 ,2024-01-12
Seoul,Lease,12,A,24,Swing,2023-03-10,681000 ,2023-04-04
Seoul,Lease,12,A,21,Swing,2023-03-10,1011000 ,2024-02-01
Seoul,Lease,6,A,30,Swing,2023-03-10,745200 ,2023-04-12
Seoul,Lease,12,A,26,Liability,2023-03-02,657000 ,2023-09-25
Seoul,Lease,12,A,24,Swing,2023-03-10,915000 ,2023-05-22
Seoul,Lease,12,A,26,Swing,2023-03-10,849000 ,2023-05-22
Seoul,Lease,12,A,26,Swing,2023-03-13,831000 ,2024-01-03
Seoul,Lease,12,A,21,Swing,2023-03-14,1011000 ,2024-03-13
Seoul,Lease,12,A,26,Swing,2023-03-14,831000 ,2024-03-13
Seoul,Lease,12,A,30,Liability,2023-03-15,768000 ,2023-08-31
Seoul,Lease,12,A,30,Liability,2023-03-15,768000 ,2024-03-14
Seoul,Lease,12,A,26,Liability,2023-03-16,801000 ,2024-03-15
Seoul,Lease,6,ETC,26,Liability,2023-03-27,248000 ,2023-08-31
Seoul,Lease,6,ETC,21,Liability,2023-03-27,215000 ,2023-06-19
Seoul,Lease,6,A,30,Liability,2023-03-20,1158000 ,2023-08-31
Seoul,Lease,12,A,26,Liability,2023-03-22,801000 ,2023-09-25
Seoul,Lease,12,A,30,Swing,2023-03-21,798000 ,2024-03-15
Seoul,Lease,12,A,21,Swing,2023-03-21,990000 ,2024-03-15
Seoul,Lease,12,A,30,Liability,2023-03-22,633000 ,2024-03-16
Seoul,Lease,12,A,24,Liability,2023-03-23,732000 ,2023-03-29
Seoul,Lease,12,A,26,Liability,2023-03-30,636000 ,2024-03-17
Seoul,Lease,12,A,26,Liability,2023-03-22,801000 ,2023-08-18
Seoul,Lease,12,A,30,Swing,2023-03-22,798000 ,2024-03-16
Seoul,Lease,12,A,21,Liability,2023-03-23,900000 ,2024-03-17
Seoul,Lease,12,A,30,Swing,2023-03-24,798000 ,2024-03-18
Seoul,Lease,12,A,26,Swing,2023-04-04,771000 ,2023-11-23
Seoul,Lease,12,A,26,Swing,2023-04-04,771000 ,2024-03-29
Seoul,Lease,12,A,30,Swing,2023-03-29,798000 ,2023-06-22
Seoul,Lease,12,B,21,Liability,2023-04-06,930000 ,2023-12-07
Seoul,Lease,12,A,21,Swing,2023-03-30,738000 ,2024-03-24
Seoul,Lease,12,A,30,Swing,2023-03-31,738000 ,2023-05-22
Seoul,Lease,12,A,30,Liability,2023-03-29,717000 ,2024-03-23
Seoul,Lease,6,A,21,Swing,2023-03-30,1497000 ,2023-09-26
Seoul,Lease,12,A,30,Swing,2023-03-30,798000 ,2023-08-31
Seoul,Lease,12,A,30,Liability,2023-03-30,768000 ,2023-08-31
Seoul,Lease,12,A,30,Swing,2023-03-31,738000 ,2024-03-25
Seoul,Lease,12,A,24,Liability,2023-03-31,837000 ,2023-11-14
Seoul,Lease,6,A,30,Liability,2023-03-31,1158000 ,2023-09-27
Seoul,Lease,12,A,24,Swing,2023-03-31,897000 ,2023-08-31
Seoul,Lease,12,A,21,Swing,2023-03-31,990000 ,2023-08-31
Seoul,Lease,12,B,30,Swing,2023-04-05,828000 ,2024-03-30
Seoul,Lease,12,A,21,Swing,2023-04-03,930000 ,2023-06-28
Seoul,Lease,12,A,30,Swing,2023-04-03,738000 ,2024-03-28
Seoul,Lease,12,A,21,Swing,2023-04-03,930000 ,2024-03-28
Seoul,Lease,12,A,30,Swing,2023-03-31,738000 ,2024-03-25
Seoul,Lease,12,A,30,Swing,2023-03-31,738000 ,2023-11-13
Seoul,Lease,12,A,30,Liability,2023-03-01,600000 ,2023-08-07
Seoul,Lease,12,A,30,Liability,2023-04-03,768000 ,2023-08-31
Seoul,Lease,12,A,26,Swing,2023-04-03,831000 ,2023-08-31
Seoul,Lease,12,A,26,Swing,2023-04-04,831000 ,2023-07-25
Seoul,Lease,12,A,24,Swing,2023-04-03,837000 ,2024-03-28
Seoul,Lease,12,B,30,Swing,2023-04-04,828000 ,2023-07-25
Seoul,Lease,12,A,30,Swing,2023-04-06,738000 ,2023-12-14
Seoul,Lease,12,B,26,Swing,2023-04-11,861000 ,2023-07-06
Seoul,Lease,12,B,24,Swing,2023-04-05,927000 ,2023-08-07
Seoul,Lease,12,A,30,Swing,2023-04-06,798000 ,2023-08-31
Seoul,Lease,12,A,30,Swing,2023-04-07,738000 ,2024-04-01
Seoul,Lease,12,A,21,Swing,2023-04-12,930000 ,2023-11-09
Seoul,Lease,12,A,30,Swing,2023-04-10,738000 ,2024-04-04
Seoul,Lease,12,A,21,Swing,2023-06-05,990000 ,2024-01-18
Seoul,Lease,12,A,26,Swing,2023-04-11,831000 ,2024-04-05
Seoul,Lease,12,A,30,Swing,2023-04-17,738000 ,2024-04-11
Seoul,Lease,12,A,26,Liability,2023-04-12,801000 ,2024-04-06
Seoul,Lease,12,A,24,Swing,2023-04-14,837000 ,2024-02-01
Seoul,Lease,12,A,24,Swing,2023-04-14,837000 ,2024-02-01
Seoul,Lease,12,A,30,Swing,2023-04-13,531000 ,2023-12-01
Seoul,Lease,12,A,30,Swing,2023-04-13,738000 ,2024-04-07
Seoul,Lease,12,A,30,Swing,2023-04-13,738000 ,2024-04-07
Seoul,Lease,12,A,30,Swing,2023-04-13,738000 ,2024-04-07
Seoul,Lease,12,A,26,Swing,2023-04-17,771000 ,2023-09-27
Seoul,Lease,12,B,30,Swing,2023-04-14,828000 ,2024-04-08
Seoul,Lease,12,A,21,Swing,2023-04-14,900000 ,2024-02-29
Seoul,Lease,6,A,30,Swing,2023-04-19,1365000 ,2023-06-01
Seoul,Lease,6,A,30,Swing,2023-04-19,1365000 ,2023-06-01
Seoul,Lease,6,A,30,Swing,2023-04-19,1365000 ,2023-06-30
Seoul,Lease,6,A,30,Swing,2023-04-19,1365000 ,2023-06-01
Seoul,Lease,6,A,30,Swing,2023-04-19,1365000 ,2023-06-01
Seoul,Lease,12,A,21,Swing,2023-04-14,930000 ,2024-04-08
Seoul,Lease,12,B,21,Liability,2023-04-19,930000 ,2023-10-24
Seoul,Lease,12,A,21,Swing,2023-04-17,990000 ,2024-04-11
Seoul,Lease,12,B,30,Swing,2023-04-19,828000 ,2024-04-13
Seoul,Lease,6,A,24,Swing,2023-04-19,1464000 ,2023-10-16
Seoul,Lease,12,A,30,Swing,2023-04-11,780000 ,2023-09-27
Seoul,Lease,6,A,26,Swing,2023-04-13,816600 ,2023-06-28
Seoul,Lease,12,A,30,Swing,2023-04-19,798000 ,2024-04-13
Seoul,Lease,12,A,26,Swing,2023-04-24,771000 ,2024-04-18
Seoul,Lease,12,A,26,Swing,2023-04-24,771000 ,2024-04-18
Seoul,Lease,12,A,30,Swing,2023-04-24,798000 ,2023-08-31
Seoul,Lease,12,A,24,Swing,2023-04-24,837000 ,2024-04-18
Seoul,Lease,12,A,24,Swing,2023-04-24,837000 ,2024-04-18
Seoul,Lease,12,A,21,Swing,2023-04-24,990000 ,2024-04-18
Seoul,Lease,12,A,26,Swing,2023-04-25,831000 ,2024-04-19
Seoul,Lease,12,A,26,Swing,2023-04-25,831000 ,2023-08-14
Seoul,Lease,6,A,30,Liability,2023-04-25,1158000 ,2023-05-31
Seoul,Lease,12,A,30,Swing,2023-04-25,738000 ,2024-04-19
Seoul,Lease,12,A,21,Swing,2023-04-25,990000 ,2024-01-22
Seoul,Lease,12,A,26,Swing,2023-04-28,831000 ,2023-07-25
Seoul,Lease,12,A,30,Swing,2023-04-27,738000 ,2024-01-08
Seoul,Lease,12,A,26,Swing,2023-04-25,831000 ,2024-04-19
Seoul,Lease,12,B,30,Swing,2023-04-26,828000 ,2024-04-20
Seoul,Lease,12,A,26,Swing,2023-04-27,831000 ,2023-08-17
Seoul,Lease,12,A,30,Swing,2023-04-26,738000 ,2024-04-20
Seoul,Lease,12,A,21,Swing,2023-04-30,990000 ,2024-02-29
Seoul,Lease,12,A,30,Swing,2023-04-28,798000 ,2024-04-22
Seoul,Lease,12,A,30,Swing,2023-04-26,798000 ,2023-08-31
Seoul,Lease,12,A,30,Swing,2023-04-26,798000 ,2023-08-31
Seoul,Lease,12,B,26,Swing,2023-04-27,831000 ,2024-04-21
Seoul,Lease,12,A,21,Swing,2023-04-26,930000 ,2024-04-20
Seoul,Lease,12,A,21,Swing,2023-04-26,930000 ,2024-04-20
Seoul,Lease,12,A,21,Swing,2023-04-27,930000 ,2023-10-17
Seoul,Lease,12,A,21,Swing,2023-04-27,930000 ,2024-04-21
Seoul,Lease,12,A,26,Swing,2023-04-27,831000 ,2024-04-21
Seoul,Lease,12,A,30,Swing,2023-04-28,798000 ,2024-02-02
Seoul,Lease,12,B,24,Swing,2023-04-28,927000 ,2023-07-25
Seoul,Lease,12,A,30,Swing,2023-04-27,798000 ,2024-04-21
Seoul,Lease,12,A,21,Swing,2023-05-10,990000 ,2023-08-31
Seoul,Lease,12,A,21,Liability,2023-04-24,900000 ,2023-05-02
Seoul,Lease,12,A,30,Swing,2023-04-28,798000 ,2024-04-22
Seoul,Lease,12,A,26,Swing,2023-04-28,831000 ,2024-02-29
Seoul,Lease,12,A,30,Swing,2023-05-02,738000 ,2023-08-22
Seoul,Lease,12,A,21,Liability,2023-04-25,900000 ,2023-05-16
Seoul,Lease,12,A,30,Swing,2023-05-02,798000 ,2024-01-18
Seoul,Lease,12,A,26,Swing,2023-05-01,771000 ,2024-04-25
Seoul,Lease,12,A,30,Swing,2023-05-03,798000 ,2024-04-27
Seoul,Lease,12,A,26,Swing,2023-05-03,831000 ,2024-04-27
Seoul,Lease,12,A,30,Swing,2023-05-03,798000 ,2024-04-27
Seoul,Lease,12,A,30,Swing,2023-05-03,798000 ,2024-04-27
Seoul,Lease,12,A,30,Swing,2023-05-03,798000 ,2024-04-27
Seoul,Lease,6,A,30,Liability,2023-05-03,1158000 ,2023-05-31
Seoul,Lease,12,A,21,Liability,2023-05-03,900000 ,2023-11-22
Seoul,Lease,12,B,30,Swing,2023-05-04,828000 ,2024-04-28
Seoul,Lease,12,B,30,Swing,2023-05-04,798000 ,2024-04-28
Seoul,Lease,12,A,26,Swing,2023-05-03,831000 ,2024-04-27
Seoul,Lease,12,B,24,Swing,2023-05-04,927000 ,2024-04-28
Seoul,Lease,6,B,21,Swing,2023-05-04,1557000 ,2023-10-31
Seoul,Lease,12,A,30,Swing,2023-05-04,798000 ,2024-04-28
Seoul,Lease,12,B,30,Swing,2023-05-21,828000 ,2024-05-15
Seoul,Lease,12,A,30,Swing,2023-05-12,798000 ,2024-05-06
Seoul,Lease,12,A,30,Swing,2023-05-12,798000 ,2024-05-06
Seoul,Lease,12,A,30,Swing,2023-05-19,798000 ,2023-11-13
Seoul,Lease,6,A,26,Swing,2023-05-08,1398000 ,2023-11-04
Seoul,Lease,12,A,30,Swing,2023-05-15,738000 ,2023-06-21
Seoul,Lease,12,A,21,Swing,2023-05-04,990000 ,2024-01-11
Seoul,Lease,12,A,21,Swing,2023-05-08,930000 ,2024-05-02
Seoul,Lease,12,A,30,Swing,2023-05-08,798000 ,2023-08-07
Seoul,Lease,12,A,30,Swing,2023-05-08,798000 ,2023-08-07
Seoul,Lease,12,A,30,Swing,2023-05-08,798000 ,2023-08-07
Seoul,Lease,12,A,26,Swing,2023-05-22,831000 ,2023-08-31
Seoul,Lease,12,A,30,Swing,2023-05-10,798000 ,2023-11-07
Seoul,Lease,12,A,30,Swing,2023-05-09,678000 ,2023-07-27
Seoul,Lease,12,A,26,Swing,2023-05-08,771000 ,2024-05-02
Seoul,Lease,12,A,26,Swing,2023-05-09,771000 ,2024-04-25
Seoul,Lease,12,A,30,Swing,2023-05-09,738000 ,2024-04-05
Seoul,Lease,12,A,24,Liability,2023-05-02,825000 ,2023-11-30
Seoul,Lease,12,B,30,Swing,2023-05-10,828000 ,2024-05-04
Seoul,Lease,12,B,30,Swing,2023-05-10,828000 ,2024-05-04
Seoul,Lease,12,A,21,Swing,2023-05-15,990000 ,2024-05-09
Seoul,Lease,6,A,30,Liability,2023-05-10,1158000 ,2023-11-06
Seoul,Lease,12,A,30,Swing,2023-05-10,738000 ,2024-05-04
Seoul,Lease,12,A,30,Swing,2023-05-10,738000 ,2024-05-04
Seoul,Lease,12,A,30,Swing,2023-05-10,798000 ,2024-05-04
Seoul,Lease,12,A,21,Swing,2023-05-10,990000 ,2023-07-09
Seoul,Lease,12,A,30,Swing,2023-05-12,738000 ,2024-05-06
Seoul,Lease,12,A,30,Swing,2023-05-12,798000 ,2023-11-27
Seoul,Lease,12,A,30,Swing,2023-05-15,798000 ,2023-11-27
Seoul,Lease,12,A,21,Swing,2023-05-12,990000 ,2023-07-26
Seoul,Lease,12,B,26,Swing,2023-05-15,861000 ,2024-05-09
Seoul,Lease,12,A,30,Swing,2023-05-12,798000 ,2023-06-19
Seoul,Lease,12,A,26,Swing,2023-05-10,831000 ,2024-05-04
Seoul,Lease,12,A,30,Swing,2023-05-16,798000 ,2024-05-10
Seoul,Lease,12,A,24,Swing,2023-05-16,897000 ,2024-05-10
Seoul,Lease,12,B,26,Swing,2023-05-15,861000 ,2024-05-09
Seoul,Lease,12,A,30,Swing,2023-05-15,738000 ,2024-05-09
Seoul,Lease,12,A,30,Swing,2023-05-15,738000 ,2024-05-09
Seoul,Lease,12,A,30,Swing,2023-05-15,738000 ,2024-05-09
Seoul,Lease,12,A,30,Swing,2023-05-16,798000 ,2023-08-31
Seoul,Lease,12,A,30,Swing,2023-05-17,798000 ,2024-05-11
Seoul,Lease,12,A,21,Liability,2023-05-17,900000 ,2023-11-17
Seoul,Lease,12,A,24,Swing,2023-05-18,897000 ,2024-05-08
Seoul,Lease,12,B,24,Swing,2023-05-23,927000 ,2024-05-17
Seoul,Lease,12,B,30,Swing,2023-05-19,828000 ,2024-05-13
Seoul,Lease,12,A,30,Swing,2023-05-18,798000 ,2023-09-13
Seoul,Lease,6,B,30,Swing,2023-05-19,1425000 ,2023-11-15
